Case_ID,Work_Order_ID,Account_ID,Site_Name,Case_Type,Priority,Status,Engineer_Assigned,Open_Date,Close_Date,Resolution_Time_Hours,SLA_Status,Curtailed_kWh,Revenue_Leakage_EUR,Resolution_Code,County
CASE-00001,WO-00001,ACC-004,Kildare Solar Park,Inverter Failure,Critical,In Progress,Niamh Walsh,2024-10-16 00:00:00,,,Breached,0.0,0.0,,South
CASE-00002,WO-00002,ACC-001,Fingal Wind Farm,Inverter Failure,High,Closed,Ciarán Murphy,2024-11-01 00:00:00,2024-11-01 11:52:06,11.87,Breached,0.0,0.0,Inverter Repaired,Wicklow
CASE-00003,WO-00003,ACC-009,Fingal Wind Farm,Turbine Fault,High,Escalated,Sinéad Byrne,2025-05-16 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00004,WO-00004,ACC-008,Meath Wind Farm,Panel Soiling,Medium,Closed,Ciarán Murphy,2024-06-01 00:00:00,2024-06-01 07:35:13,7.59,Within SLA,530.09,45.06,Grid Reconnected,Meath
CASE-00005,WO-00005,ACC-008,Wicklow Solar Park,Meter Reading Issue,Medium,Escalated,Declan Ryan,2025-04-02 00:00:00,,,Breached,62.32,5.3,,Wicklow
CASE-00006,WO-00006,ACC-005,Meath Wind Farm,Sensor Dropout,Low,Closed,Sinéad Byrne,2025-05-10 00:00:00,2025-05-11 07:58:14,31.97,Within SLA,744.69,63.3,Grid Reconnected,Fingal
CASE-00007,WO-00007,ACC-004,Meath Wind Farm,Safety Inspection,Low,Open,Seán O'Brien,2024-12-19 00:00:00,,,Breached,0.0,0.0,,South
CASE-00008,WO-00008,ACC-018,South Dublin Wind Site,Safety Inspection,Low,Closed,Seán O'Brien,2024-12-06 00:00:00,2024-12-11 07:46:51,127.78,Breached,459.35,39.04,Meter Recalibrated,Fingal
CASE-00009,WO-00009,ACC-003,Fingal Wind Farm,Turbine Fault,Medium,Closed,Declan Ryan,2025-01-21 00:00:00,2025-01-23 00:02:42,48.05,Breached,0.0,0.0,Scheduled Maintenance Done,Meath
CASE-00010,WO-00010,ACC-019,Fingal Wind Farm,Panel Soiling,Critical,In Progress,Seán O'Brien,2025-04-11 00:00:00,,,Breached,389.3,33.09,,Kildare
CASE-00011,WO-00011,ACC-014,South Dublin Wind Site,Meter Reading Issue,High,Open,Declan Ryan,2024-11-25 00:00:00,,,Breached,473.73,40.27,,Meath
CASE-00012,WO-00012,ACC-002,Wicklow Solar Park,Sensor Dropout,High,In Progress,Niamh Walsh,2024-07-12 00:00:00,,,Breached,0.0,0.0,,South
CASE-00013,WO-00013,ACC-001,Wicklow Solar Park,Sensor Dropout,High,In Progress,Aoife Kelly,2024-09-01 00:00:00,,,Breached,370.33,31.48,,Kildare
CASE-00014,WO-00014,ACC-003,Fingal Wind Farm,Maintenance Request,Medium,In Progress,Ciarán Murphy,2025-01-27 00:00:00,,,Breached,0.0,0.0,,Fingal
CASE-00015,WO-00015,ACC-007,Meath Wind Farm,Maintenance Request,Medium,Closed,Declan Ryan,2024-08-27 00:00:00,2024-08-29 04:52:09,52.87,Breached,0.0,0.0,Pending Investigation,Meath
CASE-00016,WO-00016,ACC-008,Fingal Wind Farm,Turbine Fault,High,Closed,Sinéad Byrne,2025-02-24 00:00:00,2025-02-24 09:51:57,9.87,Breached,444.07,37.75,Sensor Replaced,South
CASE-00017,WO-00017,ACC-017,Fingal Wind Farm,Turbine Fault,High,Closed,Ciarán Murphy,2024-02-14 00:00:00,2024-02-14 04:13:44,4.23,Within SLA,0.0,0.0,,Fingal
CASE-00018,WO-00018,ACC-020,Fingal Wind Farm,Maintenance Request,Low,Open,Sinéad Byrne,2024-11-21 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00019,WO-00019,ACC-001,Wicklow Solar Park,Inverter Failure,High,Closed,Aoife Kelly,2025-04-29 00:00:00,2025-04-29 11:51:52,11.86,Breached,0.0,0.0,Scheduled Maintenance Done,South
CASE-00020,WO-00020,ACC-018,South Dublin Wind Site,Inverter Failure,Medium,Closed,Niamh Walsh,2025-01-25 00:00:00,2025-01-26 20:18:17,44.3,Breached,0.0,0.0,Sensor Replaced,South
CASE-00021,WO-00021,ACC-007,Meath Wind Farm,Grid Curtailment Complaint,Low,Closed,Niamh Walsh,2025-01-30 00:00:00,2025-02-06 08:14:01,176.23,Breached,657.62,55.9,Inverter Repaired,Wicklow
CASE-00022,WO-00022,ACC-018,South Dublin Wind Site,Panel Soiling,Medium,Open,Niamh Walsh,2024-06-04 00:00:00,,,Breached,140.94,11.98,,Wicklow
CASE-00023,WO-00023,ACC-014,Wicklow Solar Park,Safety Inspection,Medium,Escalated,Sinéad Byrne,2025-05-22 00:00:00,,,Breached,764.71,65.0,,Fingal
CASE-00024,WO-00024,ACC-008,Wicklow Solar Park,Grid Curtailment Complaint,Medium,In Progress,Sinéad Byrne,2024-02-07 00:00:00,,,Breached,55.69,4.73,,South
CASE-00025,WO-00025,ACC-015,Kildare Solar Park,Grid Curtailment Complaint,Medium,Escalated,Aoife Kelly,2024-05-09 00:00:00,,,Breached,87.0,7.4,,Meath
CASE-00026,WO-00026,ACC-019,Wicklow Solar Park,Safety Inspection,High,Open,Seán O'Brien,2025-05-29 00:00:00,,,Breached,0.0,0.0,,Wicklow
CASE-00027,WO-00027,ACC-009,Meath Wind Farm,Grid Curtailment Complaint,High,Closed,Niamh Walsh,2024-12-05 00:00:00,2024-12-05 16:02:37,16.04,Breached,651.25,55.36,Firmware Updated,Wicklow
CASE-00028,WO-00028,ACC-001,Meath Wind Farm,Grid Curtailment Complaint,Medium,Closed,Aoife Kelly,2024-04-12 00:00:00,2024-04-13 17:20:18,41.34,Breached,0.0,0.0,Inverter Repaired,South
